,,,Period,,Highest Temperature °C,,,,Lowest Temperature °C,,,,Rainfall mm,,,,Rainfall occurences,,Maximum Wind km/h,,,
ID,month,month_day,period_start,period_end,highest_temperature_value,highest_temperature_year,highest_temperature_location_ar,highest_temperature_location_en,lowest_temperature_value,lowest_temperature_year,lowest_temperature_location_ar,lowest_temperature_location_en,highest_rainfall_value,highest_rainfall_year,highest_rainfall_location_ar,highest_rainfall_location_en,rainfall_occurence_value,rainfall_period_years,maximum_wind_value,maximum_wind_year,maximum_wind_location_ar,maximum_wind_location_en
59,February,28,2003,2025,39.8,2009,حرس حدود الجزيرة, Al Jazeera B.G. ,2.3,2015,جبل جيس,Jais Mountain,40.4,2005,مزيد,Mezyed ,13,23,107,2009,مطار العين,Al Ain Airport 
60,February,29,2003,2025,35.5,2016,أم الزمول,Um Azimul ,3.5,2024,جبل جيس,Jais Mountain,9.9,2024,مزيرعة,Mezaira ,2,23,70,2024,قرنين,Qarnen 
61,March,1,2003,2025,37.1,2012,الرويس,Al-Ruwais ,2.4,2024,جبل جيس,Jais Mountain,42.8,2010,مطار زايد,Zayed  Airport,11,23,85,2010,مطار دبي,Dubai Airport
62,March,2,2003,2025,37.8,2021,حرس حدود الجزيرة, Al Jazeera B.G. ,1,2019,جبل جيس, Jais Mountain,61.6,2010,مسافي,Masafi ,11,23,112,2010,جبل مبرح,Mebreh Mountain
63,March,3,2003,2025,38.0,2021,حميم, Hamim ,2.6,2019,جبل جيس, Jais Mountain,6.4,2010,جبل مبرح,Mebreh Mountain ,7,23,96,2010,جبل مبرح,Mebreh Mountain
64,March,4,2003,2025,38.9,2021,أم الزمول, Um Azimul ,1.6,2012,جبل جيس, Jais Mountain,18.7,2024,مربح الفجيرة,Merbeh Fujairah,6,23,88,2010,جبل مبرح,Mebreh Mountain
65,March,5,2003,2025,41.1,2021,بدع دعفس,Bada Dafas ,2.9,2019,ركنة, Raknah ,54.9,2024,مربح الفجيرة,Merbeh Fujairah,6,23,105,2010,جبل مبرح,Mebreh Mountain
66,March,6,2003,2025,40.0,2013,مخيرز, Mukhariz ,4.3,2019,ركنة, Raknah ,31.1,2024,الصاع,Al Saa,6,23,77,2012,أبو البخوش,Abu Al Bukhoosh
67,March,7,2003,2025,39.2,2025,براكة,Barakah,4.5,2012,دمثة, Damtha ,14.8,2016,حرس حدود الجزيرة,Al Jazeera B.G. ,4,23,78,2021,الفرفار,Al FarFar
68,March,8,2003,2025,41.1,2022,الظنة,Al Dhanna ,5,2019,جبل جيس, Jais Mountain,80,2016,مدينة زايد,Madinat Zayed ,3,23,87,2016,مزيد,Mezyed
69,March,9,2003,2025,38.5,2023,الظنة,Al Dhanna ,2.9,2019,جبل جيس, Jais Mountain,287.6,2016,الشويب,Al Shiweb ,5,23,130,2016,مطار البطين,Al Bateen Airport 
70,March,10,2003,2025,42.0,2022,الظنة,Al Dhanna ,2.4,2019,جبل جيس,Jais Mountain,19.4,2016,الروضة,Rowdah ,5,23,87,2012,مطار الفجيرة,Fujairah Airport
